Data Download for where-do-they-struggle,,,,
CSV from: ,https://csusuccess.dashboards.calstate.edu/faculty-dashboard/where-do-they-struggle,,,
Humboldt,*All Colleges,By Department,*All Departments,2023 - Fall
,,,,
"""Course Grade Bottlenecks for All Freshman, Transfer, and Graduate Students""",,,,
Year Term,Course Code,Course Title,Enrollment,Number Non-passing
2023 - Fall,KINS484,Motor Development Motor Learn,28,3
2023 - Fall,KINS492W,Senior Project In Kinesiology,22,5
2023 - Fall,LSEE101,Foundations of Education,16,0
2023 - Fall,LSEE212,Language and Literacy,16,0
2023 - Fall,LSEE315,So Stud For Elementary Ed,20,0
2023 - Fall,LSEE317,Numb and Operations and Elem a,29,1
2023 - Fall,LSEE318,Numb and Operations and Elem a,27,1
2023 - Fall,LSEE377,Educ Exceptional Individuals,21,0
2023 - Fall,LSEE421,Critical Multicultural Educ,23,2
2023 - Fall,LSEE443,Action Research I,20,0
2023 - Fall,MATH1,Support For Math 101i,172,58
2023 - Fall,MATH101,College Algebra,141,34
2023 - Fall,MATH101I,College Algebra Is,172,61
2023 - Fall,MATH101T,Trigonometry,33,14
2023 - Fall,MATH102,Algebra and Elementary Functio,159,46
2023 - Fall,MATH103,Contemporary Mathematics,53,11
2023 - Fall,MATH105,Calculus and Bio Sci and Nat R,97,24
2023 - Fall,MATH107,Introduction To Linear Algebra,25,4
2023 - Fall,MATH109,Calculus I,97,28
2023 - Fall,MATH110,Calculus II,71,31
2023 - Fall,MATH180,Stretch Calculus Part 1,24,3
2023 - Fall,MATH198,Math 101 Supplemental Instruct,52,14
2023 - Fall,MATH210,Calculus III,39,4
2023 - Fall,MATH245,Math Experimentation and Proof,14,2
2023 - Fall,MATH253,Discrete Mathematics,35,4
2023 - Fall,MATH371,Geometry,11,0
2023 - Fall,MATH442,Abstract Algebra,11,1
2023 - Fall,MUS104,Intro To Music,71,14
2023 - Fall,MUS106B,University Singers,15,0
2023 - Fall,MUS106H,Symphonic Band,17,0
2023 - Fall,MUS106N,Humboldt Chorale,29,2
2023 - Fall,MUS106O,Humboldt Symphony,14,1
2023 - Fall,MUS107C,Calypso Band,19,2
2023 - Fall,MUS107G,Guitar Chamber Music,10,0
2023 - Fall,MUS107H,Mariachi De Humboldt,18,3
2023 - Fall,MUS107Q,World Percussion Ensemble,10,1
2023 - Fall,MUS108G,Beginning Acoustic Guitar,40,3
2023 - Fall,MUS108K,Beginning Piano,24,2
2023 - Fall,MUS108V,Beginning Voice,18,0
2023 - Fall,MUS110,Fundamentals of Music,23,7
2023 - Fall,MUS112,Piano I,12,1
2023 - Fall,MUS130,Piano III,12,0
2023 - Fall,MUS217,Ear Training II,10,0
2023 - Fall,MUS220,"Studio Piano, Int.",12,2
2023 - Fall,MUS221,"Studio Voice, Int.",18,0
2023 - Fall,MUS232,"Studio Percussion, Int.",23,0
2023 - Fall,MUS237,"Studio Guitar, Int.",16,1
2023 - Fall,MUS301,"Rock,  An American Music",73,12
2023 - Fall,MUS302,Music In World Culture,39,1
2023 - Fall,MUS305,Jazz - An American Art Form,12,0
2023 - Fall,MUS324,Contemporary Composition,11,0
2023 - Fall,MUS361,"Music Tech,  Recrdng and Playb",15,2
2023 - Fall,MUS385P,Performance Seminar,11,0
2023 - Fall,NAS101,Tek and Place Based Learning,59,5
2023 - Fall,NAS104,Intro To Nat American Studies,320,60
2023 - Fall,NAS107,Intro To Ca Indian Peoples,32,5
2023 - Fall,NAS200,Indian In Am Hist,159,29
2023 - Fall,NAS302W,Oral Literature and Tradition,36,4
2023 - Fall,NAS303,Native American Psychology,39,3
2023 - Fall,NAS306,Native People of North America,40,2
2023 - Fall,NAS308,Indigenous Ethnobotany,42,0
2023 - Fall,NAS331,Intro Native Amer Prospec Nr,26,1
2023 - Fall,NAS332,Environmental Justice,29,0
2023 - Fall,NAS333,Food Sovereignty Lab,13,0
2023 - Fall,NAS340,Lang and Comm In Nat Amer Comm,22,4
2023 - Fall,NAS362,Tribal Governance and Leadersh,25,0
2023 - Fall,NAS365,Federal Indian Law II,11,0
2023 - Fall,NAS480,Native American Art of The Nc,13,1
2023 - Fall,OCN109,General Oceanography,90,11
2023 - Fall,OCN109L,Gen Ocn Lab,92,8
2023 - Fall,OCN260,Sampling Techniques and Fld St,24,0
2023 - Fall,OCN301,Marine Ecosystems-Human Impact,24,3
2023 - Fall,OCN310,Biological Oceanography,13,0
2023 - Fall,OCN496,Field Cruise II,10,0
2023 - Fall,PE112,Aikido Beginning,11,2
2023 - Fall,PE116,Basketball,14,2
2023 - Fall,PE119,Aerobics Beginning,24,2
2023 - Fall,PE125,Fencing Beginning,12,5
2023 - Fall,PE144,Stretch and Relaxation Techniq,86,5
2023 - Fall,PE146,Fitness Swimming Beginning,47,10
2023 - Fall,PE157,Weight Training Ind and Beginn,70,9
2023 - Fall,PE158,Strength Fitness,215,2
2023 - Fall,PE192,Latin Dance,24,2
2023 - Fall,PE224,"Women's Rowing, Beginning",32,0
2023 - Fall,PE253,Pilates,72,8
2023 - Fall,PE259,Yoga,145,21
2023 - Fall,PE289,"Yoga, Advanced",36,4
2023 - Fall,PE438,Intercollegiate Men's Soccer,11,0
2023 - Fall,PE456,Intercol Men and Wmn Track and,21,0
2023 - Fall,PHIL100,Logic,105,20
2023 - Fall,PHIL104,Asian Philosophy,28,1
2023 - Fall,PHIL106,Moral Controversies,32,1
2023 - Fall,PHIL107,Intro To Philosophy,72,12
2023 - Fall,PHIL198,Supplemental Instruction Logic,11,3
2023 - Fall,PHIL210,Ancient Philosophy,16,2
2023 - Fall,PHIL301,Reflection On Art,25,5
2023 - Fall,PHIL302,Environmental Ethics,57,10
2023 - Fall,PHIL304,Philosophy of Sex and Love,31,0
2023 - Fall,PHIL306,"Race, Racism and Philosophy",20,2
2023 - Fall,PHIL355,Existentialism,21,0
2023 - Fall,PHIL480,Philosophical Methods,14,2
2023 - Fall,PHYX104,Descriptive Astronomy,46,5
2023 - Fall,PHYX106,"Col Phyx,  Mechanics and Heat",91,8
2023 - Fall,PHYX107,"Col Phyx,  Electromag, Mod Phy",31,3
2023 - Fall,PHYX109,"Gen Phyx I,  Mechanics",62,8
2023 - Fall,PHYX118,"College Phyx, biologic Applict",44,3
2023 - Fall,PHYX198,Supplemental Instr.Physics 106,23,4
2023 - Fall,PHYX211,General Physics C,15,1
2023 - Fall,PHYX310,Space-Time,13,4
2023 - Fall,PHYX315,Intro To Electronics,16,0
2023 - Fall,PHYX320,Modern Physics,15,0
2023 - Fall,PHYX340,Math and Computational Methods,17,1
